no_NA2,Freq,,,no_NA1,Freq
REGISTERED NURSE,1099,,,PRESIDENT,1315
LICENSED PRACTICAL NURSE,767,,,AGENT,1072
PHARMACY TECHNICIAN,536,,,DIRECTOR,864
COSMETOLOGIST,452,,,OWNER,770
GUARD,399,,,MEMBER,566
PERMANENT EMPLOYEE REGISTRATION CARD,325,,,SECRETARY,512
PROFESSIONAL NURSE,246,,,INDIVIDUAL - SOLE OWNER,458
LICENSED VOCATIONAL NURSE,243,,,MANAGER,361
CERTIFIED NURSING ASSISTANT,238,,,INCORPORATOR,288
NURSE AIDE,238,,,VICE PRESIDENT,267
REAL ESTATE,226,,,TREASURER,225
PRACTICAL NURSE,141,,,BOARD MEMBER,167
CERTIFIED NURSE AIDE,111,,,MEMBER MANAGER,164
INSURANCE AGENTS,98,,,CEO,143
LICENSED REAL ESTATE SALESPERSON,89,,,OFFICE MANAGER,106
REGISTERED PROFESSIONAL NURSE,86,,,REGISTRANT,105
FIREARM PERMIT,85,,,CHIEF EXECUTIVE OFFICER,103
MASTER COSMETOLOGIST,79,,,MANAGING MEMBER,102
REAL ESTATE SALESPERSON,75,,,TAX RESPONSIBLE PARTY,99
RN,70,,,PARTNER,88
VOCATIONAL NURSE,65,,,CFO,87
EMERGENCY MEDICAL TECHNICIAN,62,,,ORGANIZER,55
PRIVATE SECURITY PERSONS,62,,,APPLICANT,53
LPN,59,,,MEMBER/MANAGER,52
RESPIRATORY CARE PRACTITIONER,54,,,CEO;SECRETARY;CFO,51
REAL ESTATE SALES PERSON,53,,,MEDICAL ASSISTANT,45
TECH,53,,,PHARMACY TECHNICIAN,42
CERTIFIED PUBLIC ACCOUNTANT,52,,,CHIEF FINANCIAL OFFICER,40
REAL ESTATE BROKER OR SALES,48,,,OFFICER,39
STAFF NURSE/GENERAL DUTY,48,,,ADMINISTRATIVE ASSISTANT,37
PHARMACIST,47,,,CERTIFIED PHARMACY TECHNICIAN,37
COSMETOLOGISTS,44,,,TITLE NOT SPECIFIED,27
ELECTRICIANS,44,,,SECRETARY;CFO,24
MORTGAGE BROKER - INDIVIDUAL,44,,,PROCESS ADDRESS CONTACT,23
ATTORNEY,43,,,TEACHER,23
MASSAGE THERAPIST,43,,,CONTRIBUTOR,22
"NURSE, REGISTERED",40,,,FILER,21
DENTAL HYGIENIST,39,,,CEO;CFO,20
LEGAL SERVICES,39,,,DP,20
MANICURISTS,39,,,EXECUTIVE DIRECTOR,20
REGISTERED DENTAL ASSISTANT,35,,,MANAGER/MEMBER,20
ELECTRICIAN,34,,,PRINCIPAL,20
CONTRACTOR CONTROLLING INDIVIDUALS,33,,,OTHER,19
LICENSED SOCIAL WORKER,33,,,BUSINESS OFFICE MANAGER,18
SECURITY GUARD/OFFICER,33,,,STAFF PHARMACIST,18
COS MANAGER,32,,,ADMINISTRATOR,17
SOCIAL WORKER,32,,,RECEPTIONIST SECRETARY,17
PHYSICAL THERAPIST ASSISTANT,30,,,"MANAGER, MEMBER",16
BARBER,29,,,BOARD OF TRUSTEES MEMBER,15
NON-RESIDENT PRODUCER AGENT,28,,,DIRECTOR OF MEDICAL RECORDS,15
TRADESMEN,28,,,GENERAL MANAGER,15
AUTHORIZED EMPLOYEE,27,,,GENERAL PARTNER,14
CLINICAL NURSE ASSISTANT,26,,,PTD,14
BATON CERT - USED FOR HISTORY ONLY,25,,,ALL OFFICERS,13
DENTAL ASSISITANT,25,,,RECEPTIONIST/SECRETARY,13
HOMEMAKER - HHA,25,,,ATTORNEY,12
ESTHETICIAN,24,,,CEO;SECRETARY,12
MANICURIST,24,,,DIRECTOR OF FOOD SERVICES,12
PHYSICAL THERAPIST,24,,,"PRESIDENT, DIRECTOR",12
PSYCHIATRIC TECHNICIAN,22,,,S/T,12
ARMED SECURITY GUARDS,21,,,STUDENT,12
FIREARM TRAINING CERTIFICATE,21,,,VICE-PRESIDENT,12
"NURSE, LICENSED PRACTICAL",21,,,AUTHORIZED REPRESENTATIVE,11
VEHICLE SALESPERSON,21,,,CHAIRMAN OR CHIEF EXECUTIVE OFFICER,11
MEDICATION AIDE,20,,,DIRECTOR OF NURSING SERVICES,11
SALESMAN,20,,,FIREFIGHTER,11
COS OPERATOR,19,,,GOVERNING PERSON,11
NAIL TECHNICIAN,19,,,PASTOR,11
PUBLIC HEALTH NURSE,19,,,REALTOR,11
SALESPERSON,19,,,SALES MANAGER,11
ACCOUNTANT,18,,,SECRETARY/TREASURER,11
NAIL SPECIALIST,18,,,TRADE NAME OWNER,11
NURSE,18,,,LICENSED PRACTICAL NURSE,10
OCCUPATIONAL THERAPIST,18,,,MEM,10
RADIOLOGIC TECHNOLOGY,18,,,POSITION IN SALES,10
SALESPERSONS,18,,,PSD,10
GERIATRICS,17,,,RECEPTIONIST,10
RESPIRATORY CARE,17,,,REGISTERED NURSE,10
BATON CERTIFICATE - SIDE HANDLE,16,,,VD,10
BROKER,16,,,DIRECTOR;PRESIDENT,9
CERTIFIED RESIDENTIAL,16,,,EXECUTIVE ASSISTANT,9
COSMETOLOGIST/ALL,16,,,PHYSICIAN ASSISTANT,9
COUNSELOR,16,,,STD,9
DENTIST,16,,,VP,9
LICENSED REAL ESTATE BROKER,16,,,COACH,8
CHIROPRACTOR,15,,,FAMILY PRACTITIONER,8
NURSING,15,,,FOUNDER,8
OCCUPATIONAL THERAPY ASSISTANT,15,,,MANAG,8
PARAMEDIC,15,,,MINIMUM DATA SET COORDINATOR,8
PROFESSIONAL COUNSELOR,15,,,STORE MANAGER,8
RADIOLOGIC TECHNOLOGIST,15,,,ACCOUNT EXECUTIVE,7
