"train.auc.mean","train.auc.std","test.auc.mean","test.auc.std"
0.768934,0.000383,0.70557,0.004676
0.79901,0.002444,0.727286,0.003788
0.812835,0.002541,0.73552,0.004299
0.821963,0.001846,0.741291,0.003455
0.827289,0.001383,0.744973,0.003357
0.831665,0.000554,0.747912,0.003154
0.834588,0.001276,0.750239,0.002912
0.837306,0.000505,0.751789,0.0024
0.839037,0.000758,0.753104,0.002469
0.840923,0.000486,0.754115,0.002217
0.842555,0.000988,0.754895,0.002404
0.844284,0.00079,0.755668,0.002478
0.845924,0.001196,0.756479,0.002674
0.84679,0.00112,0.756918,0.002525
0.8479,0.001166,0.757441,0.002749
0.848865,0.001379,0.75785,0.002905
0.849729,0.000983,0.758378,0.003083
0.850591,0.001151,0.758917,0.00284
0.851522,0.000886,0.759436,0.002871
0.852436,0.000793,0.759772,0.00289
0.853141,0.000828,0.760066,0.002727
0.853966,0.000822,0.760514,0.002666
0.854768,0.000837,0.760703,0.002646
0.855459,0.000856,0.760957,0.002489
0.856131,0.000792,0.761394,0.002607
0.85668,0.000511,0.761659,0.002661
0.85743,0.000635,0.761889,0.002553
0.858311,0.00039,0.76225,0.002532
0.858859,0.000357,0.76237,0.002581
0.859594,0.000372,0.76258,0.002478
0.860063,0.00038,0.76283,0.002299
0.860452,0.000513,0.762935,0.002226
0.861132,0.000624,0.763221,0.00219
0.861756,0.00059,0.763504,0.002169
0.862363,0.000747,0.763684,0.002195
0.863118,0.000805,0.763898,0.002146
0.863629,0.001005,0.76403,0.0022
0.864214,0.001121,0.764323,0.002154
0.864667,0.001072,0.764483,0.002181
0.865296,0.001029,0.764706,0.002151
0.866027,0.001012,0.764866,0.002242
0.86657,0.001109,0.765054,0.002211
0.867028,0.001006,0.765213,0.002181
0.867482,0.000823,0.765369,0.002216
0.868026,0.000878,0.765526,0.002128
0.868624,0.000795,0.765697,0.002076
0.869115,0.000774,0.765768,0.002064
0.86954,0.000884,0.76588,0.002101
0.870149,0.000993,0.766085,0.00201
0.870729,0.001016,0.766184,0.001965
0.871333,0.000996,0.766316,0.001956
0.871913,0.000934,0.766448,0.001982
0.872536,0.000946,0.766604,0.001976
0.873018,0.000866,0.766643,0.001989
0.873489,0.000892,0.766748,0.001962
0.874094,0.000717,0.766892,0.002069
0.874572,0.000686,0.76699,0.002014
0.875024,0.000731,0.767031,0.002032
0.875534,0.000653,0.767049,0.002083
0.876014,0.000603,0.767189,0.002057
0.876605,0.00069,0.76725,0.002126
0.877069,0.000651,0.767311,0.002124
0.877552,0.000574,0.767431,0.002159
0.878138,0.000609,0.767558,0.00209
0.878621,0.000656,0.767633,0.002107
0.879112,0.000708,0.767742,0.002064
0.879613,0.000754,0.767883,0.002099
0.880109,0.000806,0.76796,0.002116
0.880531,0.000748,0.7681,0.002159
0.881035,0.000823,0.768212,0.002177
0.881429,0.00077,0.768268,0.002248
0.881811,0.000778,0.768329,0.00218
0.882286,0.000767,0.768446,0.002188
0.882879,0.000742,0.768533,0.002197
0.883357,0.000741,0.768598,0.002227
0.883835,0.0007,0.76869,0.002242
0.884394,0.000694,0.768761,0.002221
0.884817,0.000679,0.768848,0.002206
0.885347,0.00071,0.768985,0.002131
0.885825,0.000798,0.76912,0.002205
0.886367,0.000803,0.769198,0.002196
0.886897,0.000815,0.769296,0.002205
0.887399,0.000835,0.769414,0.002201
0.88781,0.000834,0.769516,0.002196
0.888332,0.000841,0.769577,0.002222
0.888846,0.00081,0.769661,0.002203
0.889235,0.000853,0.769706,0.002217
0.889703,0.000822,0.769791,0.002241
0.890138,0.000807,0.769894,0.00226
0.890692,0.000868,0.769997,0.002203
0.891128,0.000853,0.770089,0.002245
0.891586,0.000871,0.770155,0.002219
0.89208,0.000908,0.770236,0.002179
0.892523,0.000949,0.770296,0.002158
0.893049,0.000929,0.770369,0.002119
0.893545,0.000946,0.770489,0.002141
0.893985,0.000993,0.770609,0.002148
0.894386,0.000939,0.770679,0.002166
0.894828,0.001007,0.770753,0.002146
0.895357,0.001006,0.770805,0.002163
0.895813,0.001006,0.77088,0.002111
0.896276,0.00097,0.770941,0.002111
0.896807,0.000982,0.771026,0.002147
0.897251,0.001099,0.771124,0.002121
0.897705,0.001084,0.771206,0.002105
0.898143,0.000986,0.771321,0.002097
0.898598,0.000966,0.771435,0.002052
0.899071,0.000969,0.771512,0.002035
0.899478,0.000992,0.771592,0.002017
0.899879,0.000988,0.771647,0.002007
0.900315,0.000938,0.771741,0.001982
0.900674,0.000939,0.771806,0.001953
0.901096,0.00084,0.771913,0.001991
0.901524,0.000822,0.772012,0.002018
0.902037,0.000835,0.7721,0.002062
0.902449,0.000815,0.772177,0.00207
0.902857,0.000868,0.772265,0.002094
0.903323,0.000884,0.772332,0.002052
0.903817,0.000851,0.772408,0.00206
0.904223,0.000838,0.772437,0.002056
0.90464,0.00086,0.772523,0.002055
0.905071,0.000903,0.772595,0.002015
0.90556,0.000959,0.772648,0.002069
0.906037,0.001021,0.772734,0.002105
0.906458,0.001,0.772787,0.002121
0.906827,0.001035,0.772877,0.002133
0.90725,0.001049,0.772994,0.002173
0.907595,0.001036,0.77309,0.002173
0.907982,0.001052,0.7732,0.002183
0.908407,0.001091,0.773315,0.002152
0.908837,0.001114,0.773406,0.002166
0.909247,0.001115,0.773489,0.002183
0.909708,0.001062,0.773579,0.002162
0.910105,0.001026,0.773644,0.002115
0.910535,0.000998,0.773723,0.00209
0.910911,0.001035,0.77383,0.002049
0.911315,0.001007,0.773906,0.002029
0.911724,0.001033,0.774014,0.00203
0.912094,0.000996,0.77407,0.002064
0.912453,0.000947,0.774138,0.002103
0.912847,0.000973,0.774239,0.002079
0.913264,0.001048,0.774311,0.002074
0.91364,0.001044,0.774381,0.002083
0.914069,0.001095,0.774448,0.002086
0.914483,0.001108,0.774536,0.002073
0.914911,0.001133,0.774642,0.002085
0.915304,0.001162,0.774717,0.002096
0.915708,0.0012,0.774806,0.0021
0.916117,0.001196,0.774876,0.002071
0.916524,0.001203,0.774988,0.002086
0.916902,0.001196,0.775053,0.002083
0.917261,0.001189,0.775109,0.002042
0.917689,0.001179,0.77515,0.002005
0.918129,0.001255,0.775224,0.002051
0.918491,0.001231,0.775304,0.002066
0.918907,0.001233,0.775366,0.002053
0.919301,0.001252,0.775445,0.002047
0.919669,0.001244,0.775498,0.002033
0.920098,0.001281,0.775586,0.002038
0.920446,0.001331,0.775645,0.00203
0.920833,0.001368,0.775683,0.001982
0.921213,0.001397,0.775748,0.001989
0.921561,0.001432,0.775799,0.001961
0.921983,0.001401,0.775848,0.001989
0.922378,0.001406,0.775907,0.001957
0.9228,0.001405,0.775959,0.001953
0.923156,0.001424,0.776038,0.001928
0.923515,0.001394,0.776125,0.001918
0.923881,0.00141,0.77619,0.001934
0.924281,0.001416,0.776272,0.001922
0.924666,0.00139,0.776324,0.001931
0.924999,0.001368,0.776397,0.001923
0.925397,0.001352,0.77646,0.001949
0.925739,0.001359,0.77652,0.001941
0.926104,0.001373,0.776571,0.001937
0.926497,0.001455,0.776637,0.001951
0.926936,0.001415,0.776717,0.001931
0.927341,0.001427,0.776792,0.001902
0.927682,0.001424,0.776875,0.001919
0.9281,0.001488,0.776956,0.001947
0.928457,0.001547,0.777062,0.001951
0.928767,0.001536,0.777133,0.001996
0.929059,0.001513,0.777192,0.001984
0.929428,0.001509,0.777248,0.001945
0.929837,0.001469,0.777291,0.001916
0.930201,0.001458,0.777354,0.001917
0.930587,0.001474,0.777441,0.001914
0.930967,0.001501,0.777485,0.001928
0.931327,0.001499,0.777547,0.001912
0.931729,0.001459,0.777605,0.001919
0.932147,0.001493,0.777681,0.001934
0.932465,0.001546,0.777753,0.001956
0.932858,0.001551,0.777807,0.001957
0.93317,0.001556,0.777873,0.001975
0.933546,0.001531,0.777926,0.001951
0.933901,0.001545,0.778003,0.001933
0.934291,0.001553,0.778067,0.001943
0.934682,0.001525,0.778124,0.001939
0.935042,0.001493,0.778196,0.001936
0.935398,0.001599,0.778272,0.001916
0.935691,0.001548,0.778336,0.0019
0.936071,0.001563,0.778393,0.001917
0.936411,0.001513,0.778448,0.001922
0.936697,0.001475,0.778499,0.001933
0.937047,0.001487,0.778574,0.00194
0.937372,0.001424,0.778627,0.001901
0.937744,0.00142,0.778699,0.001908
0.938078,0.001459,0.778733,0.001918
0.938476,0.001418,0.778832,0.001895
0.938864,0.00146,0.778878,0.001895
0.939191,0.001453,0.778942,0.001885
0.939548,0.001487,0.778988,0.001914
0.939897,0.00147,0.779064,0.001913
0.940224,0.001457,0.779111,0.001898
0.940488,0.001481,0.779163,0.001922
0.940866,0.001456,0.779206,0.001915
0.941249,0.001456,0.779257,0.001884
0.941594,0.001441,0.779299,0.001883
0.941889,0.001451,0.779357,0.001888
0.942187,0.001458,0.779413,0.001887
0.942489,0.001449,0.779462,0.001884
0.942738,0.001456,0.779493,0.001893
0.943052,0.001405,0.77954,0.0019
0.943403,0.001434,0.77961,0.001918
0.94368,0.00144,0.779659,0.001909
0.943956,0.001431,0.779701,0.001919
0.944308,0.001387,0.779751,0.001922
0.94465,0.001393,0.779822,0.001899
0.944947,0.00136,0.779881,0.001894
0.945241,0.0014,0.779915,0.001891
0.945544,0.001393,0.77995,0.001875
0.945859,0.001398,0.780002,0.001873
0.946145,0.001401,0.780075,0.001847
0.946479,0.001424,0.780141,0.001855
0.94679,0.001426,0.780184,0.001839
0.947052,0.001472,0.780255,0.001836
0.947347,0.001461,0.78029,0.001826
0.947655,0.001503,0.780339,0.001808
0.94792,0.001559,0.780388,0.00179
0.948251,0.001569,0.780458,0.001791
0.948503,0.00158,0.780518,0.001815
0.948803,0.001595,0.780562,0.001821
0.94906,0.001625,0.780604,0.001829
0.949306,0.001641,0.780655,0.00182
0.949566,0.00168,0.780693,0.001823
0.949789,0.001705,0.780735,0.001815
0.950053,0.001637,0.7808,0.001804
0.950314,0.001671,0.780857,0.001794
0.950569,0.001684,0.780907,0.001798
0.950885,0.001665,0.780964,0.001785
0.951198,0.001655,0.781001,0.001751
0.951426,0.001659,0.781047,0.001724
0.951688,0.001629,0.781085,0.001719
0.95196,0.001619,0.78113,0.001724
0.952208,0.001664,0.781184,0.001707
0.952426,0.001698,0.781246,0.00171
0.952693,0.001723,0.781299,0.001699
0.952954,0.001777,0.781346,0.0017
0.953201,0.001735,0.781386,0.001705
0.95345,0.001686,0.781415,0.001696
0.953719,0.001667,0.781465,0.001711
0.95398,0.001657,0.781497,0.001735
0.95419,0.001691,0.781532,0.00173
0.954477,0.001649,0.781593,0.001722
0.954736,0.001654,0.781627,0.001735
0.954982,0.001641,0.781646,0.001737
0.955245,0.001655,0.781687,0.001726
0.955464,0.001624,0.781728,0.0017
0.955714,0.001588,0.781787,0.001707
0.955926,0.001596,0.781818,0.001721
0.956141,0.00155,0.781863,0.001745
0.956339,0.00158,0.7819,0.001749
0.956559,0.001569,0.781945,0.001744
0.956786,0.001546,0.781991,0.001744
0.957065,0.001569,0.782064,0.001721
0.957318,0.001544,0.782105,0.001717
0.957551,0.00153,0.782155,0.001734
0.957783,0.001499,0.782183,0.001738
0.957995,0.001492,0.78223,0.001732
0.958212,0.001504,0.782282,0.001735
