"Original Name","Original Column Index","Duplicated Columns Indices"
"VAR_0006",7,"14"
"VAR_0008",9,"c(10, 11, 12, 13, 44, 45, 197, 229, 239)"
"VAR_0009",10,"c(11, 12, 13, 44, 45, 197, 229, 239)"
"VAR_0010",11,"c(12, 13, 44, 45, 197, 229, 239)"
"VAR_0011",12,"c(13, 44, 45, 197, 229, 239)"
"VAR_0012",13,"c(44, 45, 197, 229, 239)"
"VAR_0018",19,"c(20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0019",20,"c(21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0020",21,"c(22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0021",22,"c(23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0022",23,"c(24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0023",24,"c(25, 26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0024",25,"c(26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0025",26,"c(27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0026",27,"c(28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0027",28,"c(29, 30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0028",29,"c(30, 31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0029",30,"c(31, 32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0030",31,"c(32, 33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0031",32,"c(33, 39, 40, 41, 42, 43, 200, 221)"
"VAR_0032",33,"c(39, 40, 41, 42, 43, 200, 221)"
"VAR_0038",39,"c(40, 41, 42, 43, 200, 221)"
"VAR_0039",40,"c(41, 42, 43, 200, 221)"
"VAR_0040",41,"c(42, 43, 200, 221)"
"VAR_0041",42,"c(43, 200, 221)"
"VAR_0042",43,"c(200, 221)"
"VAR_0043",44,"c(45, 197, 229, 239)"
"VAR_0044",45,"c(197, 229, 239)"
"VAR_0051",52,"202"
"VAR_0089",90,"238"
"VAR_0180",181,"182:183"
"VAR_0181",182,"183"
"VAR_0188",189,"190:191"
"VAR_0189",190,"191"
"VAR_0196",197,"c(229, 239)"
"VAR_0199",200,"221"
"VAR_0205",206,"c(208, 214, 215, 839)"
"VAR_0207",208,"c(214, 215, 839)"
"VAR_0208",209,"211:212"
"VAR_0210",211,"212"
"VAR_0213",214,"c(215, 839)"
"VAR_0214",215,"839"
"VAR_0227",227,"228"
"VAR_0229",229,"239"
"VAR_0246",245,"529"
"VAR_0260",259,"356"
"VAR_0394",393,"c(437, 445, 526, 527)"
"VAR_0438",437,"c(445, 526, 527)"
"VAR_0446",445,"526:527"
"VAR_0506",505,"511"
"VAR_0526",525,"528"
"VAR_0527",526,"527"
"VAR_0916",915,"1035"
