VAR_0001,VAR_0136,VAR_0224,VAR_0241,VAR_0268,VAR_0274,VAR_0281,VAR_0292,VAR_0294,VAR_0298,VAR_0312,VAR_0314,VAR_0318,VAR_0323,VAR_0330,VAR_0504,VAR_0513,VAR_0539,VAR_0543,VAR_0549,VAR_0608,VAR_0704,VAR_0710,VAR_0711,VAR_0719,VAR_0805,VAR_0809,VAR_0887,VAR_0891,VAR_0908,VAR_0920,VAR_0967,VAR_1087,VAR_1247,VAR_1257,VAR_1397,VAR_1494,VAR_1566,VAR_1746,VAR_1749,VAR_1790,VAR_1934,VAR_0073
H,0,1,33324,1,FL,2,1,2011,0,1,2011,0,1,-1,0,0,0,116783,998,1977,25619,-99999,1,1,1,-99999,19214,-99999,-99999,0,997,116783,0,1,997,999999997,1,0,1,1,IAPS,NA
H,1,1,92071,0,MI,2,1,2012,0,1,2012,0,7,-1,0,1,0,346196,998,117,28336,-99999,2,2,5,-99999,28336,303011,27542,0,998,346196,0,1,998,33667,3,98,998,4,IAPS,9.07E+17
H,0,1,26547,0,WV,-1,0,-1,0,0,-1,0,65,-1,0,1,0,122601,998,999999997,35589,-99999,1,1,-99999,-99999,35589,94831,22523,0,998,121501,999999997,1,0,22523,0,0,30,97,IAPS,NA
H,0,1,77575,0,TX,1,0,-1,0,0,-1,0,1,-1,0,0,0,59490,400,14,5854,-99999,1,4,0,-99999,5204,18430,22107,1459,1,59490,0,30,998,59190,3,0,30,1,RCC,NA
R,0,1,60423,0,IL,1,0,-1,0,0,-1,0,1,-1,0,1,0,35708,998,0,2550,-99999,1,3,4,-99999,2266,-99999,20947,0,998,34708,0,30,998,20947,1,98,998,4,BRANCH,NA
R,0,1,77379,0,ME,2,1,2012,126987,1,2012,126987,1,-1,0,1,0,28055,400,479,4145,-99999,-99999,0,3,-99999,4145,-99999,22755,1030,996,28055,0,30,0,26755,4,0,1,2,IAPS,NA
H,0,2,97030,0,CA,2,0,2011,387000,0,2011,387000,57,325000,0,1,2,333565,998,999999996,180318,-99999,0,4,0,-99999,180318,298552,23665,902816,998,333565,0,400,997,23665,2,0,1,0,IAPS,NA
R,0,1,31098,0,SC,2,0,-1,0,0,-1,0,1,15000,1,1,2,5181,400,999999996,2087,-99999,2,3,0,-99999,2087,-99999,-99999,5073,998,5181,0,0,997,4681,4,0,120,0,IAPS,NA
R,0,1,78212,0,TX,1,1,2012,47640,1,-1,0,1,-1,0,0,0,30114,400,999999996,3444,-99999,1,1,1,-99999,3444,-99999,21942,121,1,30114,0,1,0,28314,3,0,90,2,MOBILE,8.81E+17
R,0,1,19401,1,PA,2,0,-1,0,0,-1,0,7,-1,0,0,0,1300,998,25,2399,-99999,0,1,2,-99999,2399,-99999,-99999,648,998,1300,0,30,3,999999996,0,98,998,2,BRANCH,NA
R,2,1,37129,0,TN,2,0,2012,153893,0,2012,153893,17,-1,0,1,0,15233,998,4,2118,-99999,0,2,2,-99999,1589,-99999,14233,674,998,15233,0,1,998,14233,4,98,998,2,BRANCH,9.08E+17
H,0,1,30120,0,GA,1,0,2009,0,0,-1,0,1,-1,0,1,0,1457,400,44,364,0,1,1,1,-99999,364,-99999,-99999,0,998,757,0,1,998,999999997,2,0,1,1,BRANCH,NA
H,2,1,18018,0,PA,1,0,2012,0,0,-1,0,1,0,0,1,0,539,400,999999996,376,-99999,-99999,0,2,-99999,376,-99999,-99999,4102,998,539,0,400,997,999999997,3,0,400,2,IAPS,8.90E+17
R,0,1,98335,0,CA,2,1,2009,373503,1,2009,373503,16,0,0,1,0,47562,30,0,5648,-99999,-99999,0,2,-99999,5648,-99999,44062,36,998,47562,0,30,998,44062,0,98,998,2,BRANCH,NA
Q,0,1,93308,0,CA,1,0,2012,283000,0,-1,0,1,141950,0,0,1,218067,998,16,10308,-99999,0,1,10,-99999,9223,145391,53020,2104,998,216307,0,400,3,53915,3,0,30,11,IAPS,NA
R,0,1,20171,0,VA,2,0,-1,0,0,-1,0,1,-1,0,1,0,12119,998,999999996,3775,-99999,-99999,0,1,-99999,3775,-99999,16263,0,998,12119,0,1,0,11119,4,98,998,0,IAPS,NA
