"Feature","Gain","Cover","Frequence"
"1461",0.0372937,0.0142505,0.00173469
"441",0.0145776,0.0185471,0.00181122
"910",0.00812317,0.00926524,0.00182282
"3",0.00774786,0.0215809,0.00659091
"2",0.00630047,0.0110881,0.00631494
"32",0.00593959,0.00238949,0.00124304
"517",0.00549229,0.00648628,0.00358998
"595",0.0053212,0.00510166,0.0030705
"456",0.00525285,0.0100248,0.00153061
"98",0.00516194,0.0138784,0.00427644
"497",0.00463776,0.00845557,0.00298469
"240",0.0043794,0.0033893,0.00448052
"33",0.00419527,0.00258504,0.00110853
"513",0.00407014,0.00858348,0.00304267
"89",0.00371028,0.00546149,0.00424397
"153",0.00365235,0.00232933,0.0045385
"495",0.0036186,0.00474086,0.00269017
"1",0.00353186,0.00395486,0.00384276
"356",0.00352113,0.00381597,0.00236549
"593",0.00349953,0.00603888,0.00297774
"727",0.00346865,0.00472596,0.00181818
"237",0.00343292,0.00324676,0.00226809
"80",0.00327856,0.00311067,0.00394712
"453",0.00313891,0.00548528,0.00106911
"512",0.0031188,0.00239348,0.00329082
"87",0.00306601,0.0033913,0.00357607
"1334",0.00304897,0.00430518,0.000871985
"166",0.00300333,0.00290573,0.00383813
"731",0.00299006,0.00315504,0.00340445
"1462",0.00293612,0.00331123,0.00346707
"735",0.00293485,0.00330617,0.00213822
"515",0.00292649,0.00229226,0.00281308
"357",0.00288659,0.00283633,0.00266698
"369",0.00284135,0.00352692,0.00202458
"222",0.00283234,0.00449077,0.000445269
"254",0.00281468,0.00225124,0.00352273
"640",0.00279732,0.00242492,0.00157468
"547",0.00273845,0.00248375,0.00289889
"145",0.00273453,0.00191181,0.00320037
"1296",0.00272592,0.00340864,0.00216373
"728",0.00269838,0.00357058,0.00169527
"292",0.00269307,0.00443793,0.00226345
"130",0.00268192,0.00165921,0.00328154
"117",0.00264778,0.00653535,0.00273655
"122",0.00259924,0.00335708,0.00267857
"137",0.00259093,0.00232295,0.00282004
"536",0.00257164,0.00396301,0.0029731
"159",0.00256788,0.00202695,0.0030218
"249",0.00254921,0.00181616,0.00263683
"496",0.0025461,0.00225857,0.00252783
"544",0.00254359,0.00170218,0.00266698
"320",0.00253645,0.00188991,0.00276206
"1059",0.00251429,0.00214749,0.00289657
"116",0.00248374,0.00378955,0.00279685
"545",0.00246687,0.00186377,0.00262059
"452",0.0024572,0.00548392,0.00181122
"264",0.00245708,0.00246559,0.00220779
"548",0.00245449,0.00275386,0.00264378
"694",0.00244837,0.00195622,0.00273887
"505",0.0024444,0.00357475,0.00230983
"1293",0.00243908,0.00435663,0.00154917
"361",0.00243817,0.00240293,0.00233766
"526",0.00238475,0.00445405,0.00219388
"693",0.00237475,0.00429462,0.00282236
"227",0.00234825,0.00195469,0.00291744
"519",0.00228672,0.00270303,0.00236549
"516",0.00227324,0.00201323,0.00214286
